Indicator Name,Vietnam,Thailand,Singapore,Philippines,Myanmar,Malaysia,Lao PDR,Indonesia,Cambodia,Brunei Darussalam,"ASEAN, Total"
"Avg. Death Rate, Crude (per 1K persons, Rounded)",6,8,5,7,0,5,7,7,6,4,6
"Avg. Fertility Rate, Total (Births per woman, Rounded)",2,1,1,3,0,2,2,2,3,2,2
Avg. Time Required To Start a Business (Days),22,5,3,35,0,24,174,23,99,13,44
"Foreign Direct Investment, Net (BoP, Curr. US$)",13560000000,-10586049978,51115158318,6951710900,0,3753215663,1589664970,18502038861,2706545274,467927550,88060211558
Gross Domestic Product (GDP) (Curr. US$),224000000000,455000000000,324000000000,314000000000,69320000000,315000000000,16853087485,1020000000000,22158209503,12128089002,2550000000000
High-technology Exports (Curr. US$),52779948158,34720646340,136000000000,32114258015,0,41172608986,274940688,3956863169,39805148,159575567,301000000000
"International Tourism, Number of Arrivals",12922000,35592000,13903000,6621000,363154,25948000,3257000,14040000,5602000,259000,118507154
Land Area (Sq. Km.),310070,510890,709,298170,653080,328550,230800,1811570,176520,5270,3672549
"Listed Domestic Companies, Total",344,688,483,264,0,890,0,566,3235,0,6470
Market Capitalization of Listed Domestic Companies (Curr. US$),115000000000,549000000000,787000000000,290000000000,0,456000000000,0,521000000000,0,0,2718000000000
"Population, Total",95540800,69037513,5612253,104918090,55663490,31624264,6858160,263991379,16005373,428697,649680019
"Trademark Applications, Total",50648,43295,24053,31071,0,41093,0,68103,4889,1684,264836
